user ID,end period,P01,P01E,P02,P02E,P03,P03E,P04,P04E,P05,P05E,P06,P06E,P07,P07E,P08,P08E,P00,P00ECW01,CW01E,CW02,CW02E,CW03,CW03E,CW04,CW04E,CW05,CW05E,CW06,CW06E,CW07,CW07E,CW08,CW08E,CW00,CW00E,CRT01,CRT01E,CRT02,CRT02E,CRT03,CRT03E,CRT04,CRT04E,CRT05,CRT05E,CRT06,CRT06E,CRT07,CRT07E,CRT08,CRT08E,CRT00,CRT00E,CRN01,CRN01E,CRN02,CRN02E,CRN03,CRN03E,CRNO4,CRN04E,CRN05,CRN05E,CRN06,CRN06E,CRN07,CRN07E,CRN08,CRN08E,CRN00,CRN00E
5,2012-10-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,2012-11-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,2012-12-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,2011-11-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,2011-12-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,2012-01-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,2012-02-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,2012-03-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,2012-04-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,2012-04-30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,2012-05-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,2012-06-25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,2012-07-23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,2012-08-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,2012-09-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,2012-10-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,2012-11-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,2012-12-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2011-11-14,3,2448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9217,2,1747,0,0,0,0,0,0,0,0,0,0,0,0,1,221,7,12413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,269,2,9466,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2011-12-12,0,0,2,6798,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5173,4,4770,0,0,0,0,0,0,0,0,0,0,0,0,1,1328,2,806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7520,4,6516,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2012-01-09,0,0,0,0,1,5315,0,0,0,0,0,0,0,0,0,0,0,0,2,2544,2,1082,6,4654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2345,2,2810,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4453,0,0,0,0,0,0,0,0,0,0,0,0
8,2012-02-06,0,0,0,0,0,0,1,3372,0,0,0,0,0,0,0,0,0,0,6,5710,4,4872,7,5485,2,1931,0,0,0,0,0,0,0,0,0,0,7,7879,4,1398,3,3544,0,0,0,0,0,0,0,0,0,0,0,0,2,2171,1,960,3,756,3,3685,0,0,0,0,0,0,0,0,0,0
8,2012-03-05,3,2366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4190,5,3248,1,879,1,806,3,3844,0,0,0,0,0,0,0,0,3,1581,1,1167,0,0,0,0,1,5262,0,0,0,0,0,0,0,0,2,353,0,0,1,2149,0,0,1,518,0,0,0,0,0,0,0,0
8,2012-04-02,6,6155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4603,8,11918,2,1599,4,3136,5,5245,9,10219,0,0,0,0,1,144,5,5580,5,5072,1,3852,1,543,3,3843,5,8650,0,0,0,0,0,0,5,3864,4,5370,0,0,0,0,1,921,2,2477,0,0,0,0,0,0
8,2012-04-30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3656,4,6058,4,3210,1,1768,1,1627,4,4280,4,7095,0,0,0,0,3,2911,1,1068,2,1029,1,587,1,442,4,3617,3,1644,0,0,0,0,0,0,0,0,0,0,0,0,1,200,0,0,1,63,0,0,0,0
8,2012-05-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,465,6,3292,1,556,6,4413,1,911,1,592,9,7888,1,1623,2,846,1,1100,4,3237,0,0,4,4858,1,1658,0,0,3,4086,1,147,0,0,0,0,0,0,1,356,1,237,0,0,0,0,0,0,0,0,0,0
8,2012-06-25,0,0,0,0,0,0,0,0,0,0,0,0,1,5541,0,0,0,0,2,1510,1,793,0,0,1,794,2,988,1,204,21,16354,0,0,3,2729,1,5753,0,0,0,0,0,0,2,924,0,0,8,21621,0,0,1,397,0,0,0,0,0,0,0,0,1,343,0,0,0,0,0,0,2,1087
8,2012-07-23,0,0,0,0,0,0,0,0,0,0,0,0,2,13422,0,0,0,0,2,1613,10,15785,0,0,0,0,2,2801,4,1898,10,11830,4,3478,1,230,0,0,0,0,0,0,0,0,0,0,0,0,6,9186,5,15172,0,0,0,0,0,0,0,0,0,0,0,0,1,774,9,13461,0,0,0,0
8,2012-08-20,0,0,0,0,0,0,0,0,0,0,0,0,1,11336,0,0,0,0,0,0,7,3574,0,0,0,0,2,2251,7,6654,5,6340,0,0,0,0,0,0,3,716,0,0,0,0,0,0,1,1214,4,7028,0,0,1,451,0,0,1,538,0,0,0,0,0,0,0,0,4,4788,0,0,0,0
8,2012-09-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,968,6,5286,1,2,1,1521,0,0,0,0,0,0,0,0,0,0,1,1017,3,2461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,236,0,0,0,0,0,0
8,2012-10-15,0,0,0,0,0,0,0,0,0,0,0,0,1,10551,0,0,0,0,0,0,2,1626,0,0,0,0,0,0,0,0,2,847,3,1721,3,2091,0,0,1,1480,0,0,0,0,0,0,0,0,1,183,3,1994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,133,0,0,0,0
8,2012-11-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1107,4,3961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,179,1,140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1663
8,2012-12-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,2011-11-14,0,0,1,8284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,7791,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,47,2,9460,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,2011-12-12,0,0,1,7290,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,818,3,1186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5439,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,2012-01-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,134,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,2012-02-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1538,1,691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,2012-03-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,2012-04-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,2012-04-30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,2012-05-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,2012-06-25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,2012-07-23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,2012-08-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,2012-09-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,2012-10-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,2012-11-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,2012-12-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,2011-11-14,0,0,1,957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1339,1,3832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2316,3,1340,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,2011-12-12,0,0,1,844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3543,1,201,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,2012-01-09,0,0,1,6685,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3813,5,3939,4,2443,0,0,0,0,0,0,0,0,0,0,3,562,1,1380,2,2177,1,734,0,0,0,0,0,0,0,0,0,0,1,2274,1,529,5,1575,1,1848,0,0,0,0,0,0,0,0,0,0,1,118
10,2012-02-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1794,3,1525,10,6720,0,0,0,0,0,0,0,0,0,0,2,1600,0,0,4,3058,5,3374,0,0,0,0,0,0,0,0,0,0,0,0,3,2761,2,7535,1,6,0,0,0,0,0,0,0,0,0,0,0,0
10,2012-03-05,3,4989,0,0,0,0,1,2809,0,0,0,0,0,0,0,0,0,0,3,365,2,516,0,0,1,392,1,542,0,0,0,0,0,0,1,1511,3,2744,1,404,1,360,1,1154,0,0,0,0,0,0,0,0,1,240,2,3550,0,0,0,0,2,3510,1,1110,0,0,0,0,0,0,0,0
10,2012-04-02,3,7127,1,7498,0,0,0,0,0,0,1,3648,0,0,0,0,0,0,4,1435,11,11672,0,0,4,4978,1,1469,3,1930,0,0,0,0,0,0,4,918,13,9533,0,0,1,2127,0,0,1,1228,0,0,0,0,0,0,2,5118,2,2046,0,0,0,0,0,0,3,3967,0,0,0,0,0,0
10,2012-04-30,0,0,0,0,0,0,0,0,0,0,0,0,1,3077,0,0,0,0,3,1282,4,3534,1,370,5,2562,2,641,8,3782,5,4395,4,1703,1,1059,3,2299,1,61,1,843,4,4456,2,1112,3,2154,6,3162,2,3763,1,244,0,0,1,654,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,2012-05-28,0,0,0,0,1,6805,0,0,0,0,0,0,1,5034,1,3498,1,10344,4,1183,5,5751,6,1401,1,666,1,243,3,612,12,9869,5,3864,8,5743,6,3369,1,511,4,2792,1,123,2,52,2,2571,10,13979,6,6678,7,3043,0,0,0,0,2,737,1,413,0,0,0,0,2,3548,4,3051,0,0
10,2012-06-25,0,0,0,0,0,0,0,0,0,0,0,0,1,4715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,196,15,10093,3,1915,1,810,0,0,0,0,0,0,0,0,0,0,1,343,20,20560,4,5220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1718,0,0,0,0
